File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Input\InputManager.cs,414,210,100,41,43,1,161,890,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Input\InputObject.cs,299,167,83,29,29,1,103,574,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Interfaces\IEffect.cs,90,27,18,0,11,1,52,261,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Interfaces\IName.cs,24,12,7,0,2,1,10,36,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Interfaces\IPositionable.cs,30,14,9,0,3,1,13,50,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\IO\DataReader.cs,408,254,145,53,43,1,111,648,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Physics\BoundingRectangle.cs,580,274,137,43,56,1,250,1528,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Physics\Camera2D.cs,115,63,32,5,12,1,40,193,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Physics\Interpolator.cs,263,120,69,12,31,1,112,647,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Physics\InterpolatorScales.cs,116,42,25,5,12,1,62,371,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Physics\IntVector2.cs,285,127,64,23,26,1,132,773,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Physics\RightTriangle.cs,538,310,148,63,48,1,180,1196,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Screens\BlankScreen.cs,65,37,22,1,6,1,22,90,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Screens\Screen.cs,123,49,30,1,17,1,57,299,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Screens\ScreenManager.cs,154,88,51,5,15,1,51,243,0,1
